round,agreement,certainty,effective_consensus,effective_consensus_ma,consensus_attainment_rate
186,0.9341185487926442,0.2041781212788284,0.1907265703441877,0.8366181296183873,0.9085791510240324
187,0.9442465187434176,0.8603947189321106,0.8124247180968667,0.8211480062283475,0.9085791510240324
188,0.9987536035000554,0.9899337789233826,0.9886999289261555,0.828696748551695,0.9085791510240324
189,0.9856422919158134,0.8137913012643636,0.8021071233193595,0.8176527803224606,0.9085791510240324
190,0.7961387354066778,0.6679175952365237,0.5317550696274753,0.7959387139664955,0.9085791510240324
191,0.9546890228594413,0.7836427897019564,0.7481351691714074,0.7734907689105327,0.9085791510240324
192,0.9270341864783658,0.7566670324743585,0.7014562068848661,0.766658322548076,0.9085791510240324
193,0.9944286002050655,0.9208495725182311,0.9157191513987375,0.7623104027359795,0.9085791510240324
194,0.9979995326461893,0.986765092496435,0.9847911011430159,0.7662094191831403,0.9085791510240324
195,0.8725685495449923,0.685460131668723,0.5981109528610971,0.7273925991773169,0.9085791510240324
196,0.9949920569458907,0.9791055301665285,0.9742022254274909,0.8057401646856471,0.9085791510240324
197,0.8870916310650887,0.7114649697970548,0.6311346205029433,0.7876111549262548,0.9085791510240324
198,0.993111433263341,0.9457230502367107,0.9392083738907583,0.7826619994227151,0.9085791510240324
199,0.9898119956614514,0.9763568854555769,0.9664097572705836,0.7990922628178376,0.9085791510240324
